Title,Released Date,Genre,IMDB Rating,Normalized IMDB Rating,Top 3 Actors,Box Office,Total Awards,Metascore,Language,Production
Flight Risk,2025-01-24,"['crime', 'action', 'drama']",5.5,0.55,"Mark Wahlberg, Michelle Dockery, Topher Grace",20907918,0,3,english,NA
Mufasa The Lion King,2024-12-20,"['adventure', 'animation', 'drama']",6.6,0.6599999999999999,"Aaron Pierre, Kelvin Harrison Jr., Tiffany Boone",248443645,15,2,"english,swahili",NA
The Corpse,Unknown,"['thriller', 'horror', 'short']",8.0,0.8,"April Knapp, Melissa H. Green, Timothy C. Arthur",N/A,0,N/A,na,NA
Guns Of Redemption,2025-03-07,['western'],0,0,"Casper Van Dien, Kaitlyn Kemp, Siena Bjornerud",N/A,0,N/A,english,NA
Play It As It Lays,1973-06-07,['drama'],6.4,0.64,"Anthony Perkins, Tammy Grimes, Tuesday Weld",N/A,11,N/A,english,NA
Dog Man,2025-01-31,"['adventure', 'action', 'animation']",6.5,0.65,"Lil Rel Howery, Pete Davidson, Poppy Liu",38673255,0,2,english,NA
The Way My Way,2024-05-16,['drama'],6.7,0.67,"Chris Haywood, Jennifer Cluff, Laura Lakshmi",N/A,0,N/A,english,NA
Purple Rain,1984-07-27,"['romance', 'music', 'drama']",6.5,0.65,"Apollonia Kotero, Morris Day, Prince",70261052,194,2,english,NA
Captain America Brave New World,2025-02-14,"['adventure', 'sci-fi', 'action']",6.0,0.6,"Anthony Mackie, Danny Ramirez, Harrison Ford",166130763,2,2,english,NA
Vietnam My Motherland,Unknown,['n/a'],0,0,Lom Tom,N/A,0,N/A,na,NA
You Burn Me,2024-10-03,['drama'],0,0,"Agustina Muñoz, Ana Cristina Barragán, Maria Inês Gonçalves",N/A,5,N/A,english,NA
A Match,2023-09-08,['drama'],0,0,"Nandini Chikte, Sangita Sonekar, Taranath Khiratkar",N/A,137,N/A,marathi,NA
